


 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /assets/vendor/bootstrap-icons/bootstrap-icons.css
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /assets/vendor/bootstrap/css/bootstrap.min.css
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /assets/css/style.css
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /assets/vendor/swiper/swiper-bundle.min.css
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /pages/assets/img/slide-about-1.jpg
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /pages/assets/img/about-2.jpg
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /pages/assets/img/agent-7.jpg
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /pages/assets/img/agent-6.jpg
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /pages/assets/img/agent-5.jpg
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /pages/assets/vendor/bootstrap/js/bootstrap.bundle.min.js
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /pages/assets/vendor/swiper/swiper-bundle.min.js
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /pages/assets/js/main.js
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /pages/assets/vendor/php-email-form/validate.js
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /pages/assets/vendor/animate.css/animate.min.css
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /assets/vendor/bootstrap/css/bootstrap.min.css
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /assets/vendor/bootstrap-icons/bootstrap-icons.css
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /assets/css/style.css
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /assets/vendor/swiper/swiper-bundle.min.css
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /pages/assets/img/slide-about-1.jpg
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /pages/assets/img/about-2.jpg
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /pages/assets/img/agent-7.jpg
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /pages/assets/img/agent-6.jpg
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /pages/assets/img/agent-5.jpg
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /pages/assets/vendor/bootstrap/js/bootstrap.bundle.min.js
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /pages/assets/vendor/swiper/swiper-bundle.min.js
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /pages/assets/js/main.js
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /pages/assets/vendor/php-email-form/validate.js
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /pages/pages/assets/img/favicon.png
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /pages/assets/vendor/animate.css/animate.min.css
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /assets/vendor/bootstrap/css/bootstrap.min.css
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /assets/vendor/bootstrap-icons/bootstrap-icons.css
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /assets/vendor/swiper/swiper-bundle.min.css
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /assets/css/style.css
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /pages/assets/img/slide-about-1.jpg
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /pages/assets/img/about-2.jpg
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /pages/assets/img/agent-7.jpg
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /pages/assets/img/agent-6.jpg
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /pages/assets/vendor/bootstrap/js/bootstrap.bundle.min.js
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /pages/assets/img/agent-5.jpg
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /pages/assets/vendor/swiper/swiper-bundle.min.js
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /pages/assets/vendor/php-email-form/validate.js
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /pages/assets/js/main.js
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /assets/vendor/animate.css/animate.min.css
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /assets/vendor/bootstrap/css/bootstrap.min.css
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /assets/vendor/bootstrap-icons/bootstrap-icons.css
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /assets/css/style.css
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /assets/vendor/swiper/swiper-bundle.min.css
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /pages/assets/img/slide-about-1.jpg
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /pages/assets/img/about-2.jpg
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /pages/assets/img/agent-7.jpg
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /pages/assets/img/agent-6.jpg
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /pages/assets/img/agent-5.jpg
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /pages/assets/vendor/bootstrap/js/bootstrap.bundle.min.js
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /pages/assets/vendor/swiper/swiper-bundle.min.js
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /pages/assets/vendor/php-email-form/validate.js
 Usuario entrando al programa, PUERTO: 3000, HOST: 127.0.0.1 en la RUTA: /pages/assets/js/main.js
